,Address,Last Updated,Categories,Description,Phone,Email
0,"Chapali Bhadrakali -9, Nepal","Last Updated : 
            Aug 08, 2011",Agricultural Equipment & Implements,"Welcome to Pioneer Farm!

Pioneer Farm...",977-9851061892,info@pioneerfarm.com.np
1,"Tinkune, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4478301-6,uts@voith.com.np
2,"Harihar Bhawan, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,5552957,"daninapp@wlink,com.np"
3,"Kalimati, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4275166,
4,"Kathmandu, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4438023,greenag_tec@hotmail.com
5,"Balkhu, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4279111,info@metgroup.com.np
6,"Patan, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,5534428,info@arginepal.com
7,"Kalimati, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,"4270916, 9851054468",psagrovet@hotmail.com
8,"Durbar Marg, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4220773,
9,"Milanchowk ,Butwal-10, distrc rupandehi","Last Updated : 
            Nov 05, 2015",Agricultural Equipment & Implements,All kinds of agriculture machine like po...,977-071549414,Butwwlautomobile@gmail.com
10,Kalimati,"Last Updated : 
            Mar 02, 2016",Agricultural Equipment & Implements,We provide quality seeds and pesticides ...,"977-+977-4285087, 977-9841225800",dakshinkali.seed@gmail.com
11,"277, INDUSTRIAL AREA, PHASE 2, CHANDIGARH-160002","Last Updated : 
            Mar 11, 2016",Agricultural Equipment & Implements,we are the leading manufacturer of AGRIC...,"91-09814058698, 91-09501116073",vishal@nmagro.com
12,"Mahakant Building,Ashram Road, Ahmedabad, Gujarat, India.","Last Updated : 
            Jul 14, 2016",Agricultural Equipment & Implements,Shree Maruti Exim is reliable and leadin...,"91-8511698552, 91-8511698552",vishal.shreemaruti@gmail.com
13,"Bhaktapur-15, Byasi","Last Updated : 
            Nov 17, 2016",Agricultural Equipment & Implements,We deal all kind of agri machines since ...,"977-+97716614649, 977-+9779851019005",sktnepal305@gmail.com
14,"Bhaktapur-15, Byasi","Last Updated : 
            Nov 17, 2016",Agricultural Equipment & Implements,We deal all kind of agri machines. like ...,"977-016614649, 977-9851019005",krishna305@hotmail.com
15,"milanchowk-10,butwal","Last Updated : 
            Nov 25, 2020",Agricultural Equipment & Implements,we have all kinds of agriculture machine...,"977-071549414, 977-9857033906",butwalautomobile@gmail.com
16,Thulodhading-2 Danse,"Last Updated : 
            Mar 18, 2017",Agricultural Equipment & Implements,We supply fresh and dried organic sisno ...,977-9808921508,
