Unnamed: 0,BusinesName,Businesslink,Address,Last Updated,Categories,Description,Phone,Email,
0,Pioneer Farm,https://www.yellowpagesnepal.com/pioneer-farm,"Chapali Bhadrakali -9, Nepal","Last Updated : 
            Aug 08, 2011",Agricultural Equipment & Implements,"Welcome to Pioneer Farm!

Pioneer Farm...",977-9851061892,info@pioneerfarm.com.np,
1,Agriflora (P) Ltd.,https://www.yellowpagesnepal.com/agriflora-p-ltd,"Tinkune, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4478301-6,uts@voith.com.np,
2,APPSP,https://www.yellowpagesnepal.com/appsp,"Harihar Bhawan, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,5552957,"daninapp@wlink,com.np",
3,ATC Scientific Business Conservation Centre,https://www.yellowpagesnepal.com/atc-scientific-business-conservation-centre,"Kalimati, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4275166,,
4,Green Agriculture Technology Pvt. Ltd.,https://www.yellowpagesnepal.com/green-agriculture-technology-pvt-ltd,"Kathmandu, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4438023,greenag_tec@hotmail.com,
5,Met Group (P) Ltd.,https://www.yellowpagesnepal.com/met-group-p-ltd1,"Balkhu, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4279111,info@metgroup.com.np,
6,National Agriculture & Forestry (P) Ltd.,https://www.yellowpagesnepal.com/national-agriculture-and-forestry-p-ltd,"Patan, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,5534428,info@arginepal.com,
7,P. S. Agrovet,https://www.yellowpagesnepal.com/p-s-agrovet,"Kalimati, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,"4270916, 9851054468",psagrovet@hotmail.com,
8,Pumori Agro Forestry Industries (P) Ltd.,https://www.yellowpagesnepal.com/pumori-agro-forestry-industries-p-ltd,"Durbar Marg, Kathmandu","Last Updated : 
            May 14, 2013",Agricultural Equipment & Implements,,4220773,,
9,"Butwal automobile,all kinds of agriculture machine",https://www.yellowpagesnepal.com/butwal-automobile-all-kinds-of-agriculture-machine,"Milanchowk ,Butwal-10, distrc rupandehi","Last Updated : 
            Nov 05, 2015",Agricultural Equipment & Implements,All kinds of agriculture machine like po...,977-071549414,Butwwlautomobile@gmail.com,
10,Dakshinkali Beej Bhandar,https://www.yellowpagesnepal.com/dakshinkali-beej-bhandar,Kalimati,"Last Updated : 
            Mar 02, 2016",Agricultural Equipment & Implements,We provide quality seeds and pesticides ...,"977-+977-4285087, 977-9841225800",dakshinkali.seed@gmail.com,
11,OX ROTAVATORS,https://www.yellowpagesnepal.com/ox-rotavators,"277, INDUSTRIAL AREA, PHASE 2, CHANDIGARH-160002","Last Updated : 
            Mar 11, 2016",Agricultural Equipment & Implements,we are the leading manufacturer of AGRIC...,"91-09814058698, 91-09501116073",vishal@nmagro.com,
12,Shree Maruti Exim,https://www.yellowpagesnepal.com/shree-maruti-exim,"Mahakant Building,Ashram Road, Ahmedabad, Gujarat, India.","Last Updated : 
            Jul 14, 2016",Agricultural Equipment & Implements,Shree Maruti Exim is reliable and leadin...,"91-8511698552, 91-8511698552",vishal.shreemaruti@gmail.com,
13,SKT Nepal Pvt Ltd,https://www.yellowpagesnepal.com/skt-nepal-pvt-ltd,"Bhaktapur-15, Byasi","Last Updated : 
            Nov 17, 2016",Agricultural Equipment & Implements,We deal all kind of agri machines since ...,"977-+97716614649, 977-+9779851019005",sktnepal305@gmail.com,
14,SK Traders,https://www.yellowpagesnepal.com/sk-traders,"Bhaktapur-15, Byasi","Last Updated : 
            Nov 17, 2016",Agricultural Equipment & Implements,We deal all kind of agri machines. like ...,"977-016614649, 977-9851019005",krishna305@hotmail.com,
15,butwal automobil,https://www.yellowpagesnepal.com/butwal-automobil,"milanchowk-10,butwal","Last Updated : 
            Nov 25, 2020",Agricultural Equipment & Implements,we have all kinds of agriculture machine...,"977-071549414, 977-9857033906",butwalautomobile@gmail.com,
16,Lama Stinging Nettle Producation Company,https://www.yellowpagesnepal.com/lama-stinging-nettle-producation-company,Thulodhading-2 Danse,"Last Updated : 
            Mar 18, 2017",Agricultural Equipment & Implements,We supply fresh and dried organic sisno ...,977-9808921508,,
17,Mero Agro Pvt. Ltd.,https://www.yellowpagesnepal.com/mero-agro-pvt-ltd,"Shree Krishna Sadan 7th floor, New Baneshwor, Kathmandu","Last Updated : 
            May 04, 2017",Agricultural Equipment & Implements,Mero Agro Pvt. Ltd. is one of the leadin...,"977-+977-1-4786329, 977-+977-9841044191",info@meroagro.com,
18,Rongdar Intrenational Limited,https://www.yellowpagesnepal.com/rongdar-intrenational-limited,"Kathmandu,Nepal","Last Updated : 
            May 26, 2017",Agricultural Equipment & Implements,Rongdar is the professional poultry equi...,"977-8618832738087, 977-8618832738087",,
19,Sudarshan Consolidated Limited (SCL),https://www.yellowpagesnepal.com/sudarshan-consolidated-limited-scl,"Industrial Growth Center, SIDCO Samba, Jammu 184 121","Last Updated : 
            Aug 05, 2017",Agricultural Equipment & Implements,Sudarshan Consolidated Limited (SCL) (ww...,"977-+91-11-49404782, 977-9728100592",sclagrochem@gmail.com,
20,Abhi Raj thresher manufacturers and treders,https://www.yellowpagesnepal.com/abhi-raj-thresher-manufacturers-and-treders,Agrsen Nagar Bharatpur,"Last Updated : 
            Oct 20, 2017",Agricultural Equipment & Implements,We are manufacturer of multi crop thresh...,91-9587969826,Abhijitpandey555@gmail.com,
21,dowellsonic,https://www.yellowpagesnepal.com/dowellsonic,"No.576,Qiuyue RD,Runhe business Plaza,Fuyang district,Hangzhou.China","Last Updated : 
            Dec 21, 2017",Agricultural Equipment & Implements,HANGZHOU DOWELL ULTRASONIC TECHNOLOGY CO...,86-86-571-23289358,davidwang@dowellsonic.com,
22,puantistres,https://www.yellowpagesnepal.com/puantistres,"Shanghai Fengxian District Canal North Road 258, Room 1722","Last Updated : 
            Dec 27, 2017",Agricultural Equipment & Implements,"Shanghai L&H International Co., Ltd. is ...",692-86-21-67186908,Sales@gdbr-bearing.com,
23,bahuvida limited,https://www.yellowpagesnepal.com/bahuvida-limited,"plot no66, sagar society, road no 2, banjarahills, hyderabad, plot no 66, sagar society, road no 2, banjarahills","Last Updated : 
            Apr 26, 2018",Agricultural Equipment & Implements,Bahuvida Group is an Indian multinationa...,"91-+919398671645, 91-9398671645",bahuvidalimited@gmail.com,
24,nylon2018,https://www.yellowpagesnepal.com/nylon2018,"xindi village,hefu town,huzhou City,zhejiang,China","Last Updated : 
            Apr 28, 2018",Agricultural Equipment & Implements,"Huzhou Hengxin Label Manufacture Co.,Ltd...","86-86-572-3773115, 86-86-13666518088",info@hengxin-label.com,
25,Butwal krishi yantra ghar,https://www.yellowpagesnepal.com/butwal-krishi-yantra-ghar,"butwal-8, milanchowk, rupandehi","Last Updated : 
            Oct 01, 2022",Agricultural Equipment & Implements,We have all kinds of agriculture machine...,"977-071549414, 977-9857033906",Butwalautomobile@gmail.com,
26,ร ยคยฌร ยฅยร ยคลธร ยคยตร ยคยฒ ร ยคโขร ยฅฦร ยคยทร ยคยฟ ร ยคยฏร ยคยจร ยฅยร ยคยคร ยฅยร ยคยฐ ร ยคหร ยคยฐ,https://www.yellowpagesnepal.com/1,"ร ยคยฌร ยฅยร ยคลธร ยคยตร ยคยฒ-ร ยฅยฎ, ร ยคยฎร ยคยฟร ยคยฒร ยคยจร ยคลกร ยฅโนร ยคโข,ร ยคยฐร ยฅยร ยคยชร ยคยจร ยฅยร ยคยฆร ยฅโกร ยคยนร ยคยฟ","Last Updated : 
            May 04, 2018",Agricultural Equipment & Implements,We have all kind of agriculture machine ...,"977-à¥¦à¥­à¥§à¥«à¥ªà¥¯à¥ªà¥§à¥ª, 977-à¥¯à¥®à¥«à¥­à¥¦à¥©à¥©à¥¯à¥¦à¥¬",butwalautomobile@gmail.com,
27,Shengzhou Fusheng Machinery and Electrics,https://www.yellowpagesnepal.com/shengzhou-fusheng-machinery-and-electrics,Changle Economic Zone Shengyi Line Shengzhou City Zhejiang China,"Last Updated : 
            May 09, 2018",Agricultural Equipment & Implements,Shengzhou Fusheng Machinery and Electric...,"691-86-13819556498, 691-86-13819556498",596675207@qq.com,
28,comeonbaby,https://www.yellowpagesnepal.com/comeonbaby1,320National Road Jiande city Hangzhou city Zhejiang Province,"Last Updated : 
            May 11, 2018",Agricultural Equipment & Implements,"Jiande wanstar Hardware Tools Co., Ltd. ...",86-+86 0571 64172555,apptony168@yahoo.com,
29,ร ยคยฌร ยฅยร ยคลธร ยคยตร ยคยฒ ร ยคโขร ยฅฦร ยคยทร ยคยฟ ร ยคยฏร ยคยจร ยฅยร ยคยคร ยฅยร ยคยฐ ร ยคหร ยคยฐ,https://www.yellowpagesnepal.com/,"ร ยคยฌร ยฅยร ยคลธร ยคยตร ยคยฒ-ร ยฅยฎ, ร ยคยฎร ยคยฟร ยคยฒร ยคยจร ยคลกร ยฅโนร ยคโข,ร ยคยฐร ยฅยร ยคยชร ยคยจร ยฅยร ยคยฆร ยฅโกร ยคยนร ยคยฟ",,,ร ยคยนร ยคยพร ยคยฎร ยฅโฌ ร ยคโขร ยคยนร...,,,
30,"Zhejiang Jinxia New Material Technology Co., Ltd.",https://www.yellowpagesnepal.com/zhejiang-jinxia-new-material-technology-co-ltd,"3528, Jianan Road, Tongyuan Town, Haiyan County, Zhejiang Province, 314306, China","Last Updated : 
            May 25, 2018",Agricultural Equipment & Implements,Our company since long time has focused ...,"373-86-573-86950079, 373-86-573-86950079",info@jinxiagroup.com,
31,ร ยคยฌร ยฅยร ยคลธร ยคยตร ยคยฒ ร ยคโขร ยฅฦร ยคยทร ยคยฟ ร ยคยฏร ยคยจร ยฅยร ยคยคร ยฅยร ยคยฐ ร ยคหร ยคยฐ,https://www.yellowpagesnepal.com/4,"ร ยคยฌร ยฅยร ยคลธร ยคยตร ยคยฒ-ร ยฅยฎ, ร ยคยฎร ยคยฟร ยคยฒร ยคยจร ยคลกร ยฅโนร ยคโข,ร ยคยฐร ยฅยร ยคยชร ยคยจร ยฅยร ยคยฆร ยฅโกร ยคยนร ยคยฟ","Last Updated : 
            Jun 01, 2018",Agricultural Equipment & Implements,ร ยคยนร ยคยพร ยคยฎร ยฅโฌ ร ยคโขร ยคยนร...,977-à¥¦à¥­à¥§à¥«à¥ªà¥¯à¥ªà¥§à¥ª,butwalautomobile@gmail.com,
32,Butwal krishi yantra ghar,https://www.yellowpagesnepal.com/butwal-krishi-yantra-ghar1,"butwal-8, milanchowk, rupandehi","Last Updated : 
            Jun 01, 2018",Agricultural Equipment & Implements,,"977-071549414, 977-9857033906",butwalautomobile@gmail.com,
33,"Zhejiang trewers electric bicycle manufacturing Co., Ltd.",https://www.yellowpagesnepal.com/zhejiang-trewers-electric-bicycle-manufacturing-co-ltd,"Nanxun Economic Development Zone, Huzhou City, Zhejiang Province West Road No. 1288","Last Updated : 
            Jun 09, 2018",Agricultural Equipment & Implements,Zhejiang trewers electric bicycle manufa...,"1-876-86-572-3638888, 1-876-86-572-3638888",info@trewers.cn,
34,goodlifts,https://www.yellowpagesnepal.com/goodlifts1,"Yangcunqiao Industry Park, Hangzhou City, China","Last Updated : 
            Jun 25, 2018",Agricultural Equipment & Implements,"hzaolida.com owns R&D center, product te...",-+86 0571 6418 7666,dengchao208@gmail.com,
35,Eggs incubator,https://www.yellowpagesnepal.com/eggs-incubator,kapan bhangal ktm,"Last Updated : 
            Jul 23, 2018",Agricultural Equipment & Implements,hami tapai ko order anusar eggs incubato...,"977-9805150810, 977-9805150810",anilshrestha711@gmail.com,
36,"รย Shengzhou Tianyi Electric Appliance Co., Ltd.",https://www.yellowpagesnepal.com/shengzhou-tianyi-electric-appliance-co-ltd,"Fuquan Industiral Zone,Changle,Shengzhou,","Last Updated : 
            Jul 25, 2018",Agricultural Equipment & Implements,Our company established in 1993 and loca...,356--83791271,qianxiaof@163.com,
37,mjhg,https://www.yellowpagesnepal.com/mjhg,"No.761 Zhenxing Road, Ganlin Town, Shengzhou City, Zhejiang, China","Last Updated : 
            Jul 26, 2018",Agricultural Equipment & Implements,Zhejiang Beifeng Refrigeration Equipment...,"-+8683064547, --18957537802",sdffgfghrf445@outlook.com,
38,"Shaoxing Sky Up Textile Co.,Ltd",https://www.yellowpagesnepal.com/shaoxing-sky-up-textile-co-ltd,"YueXiu Road,PaoJiang Industrial Zone,Shaoxing City,Zhejiang,China","Last Updated : 
            Aug 13, 2018",Agricultural Equipment & Implements,"Shaoxing Sky Up Textile Co.,Ltd is locat...",-+86-137 7731 8608,,
39,Ningbo Zhenhai Jinlong Sewing,https://www.yellowpagesnepal.com/ningbo-zhenhai-jinlong-sewing1,Ningbo Zhenhai Jiulonghuรย TianGu industrial zone,"Last Updated : 
            Aug 17, 2018",Agricultural Equipment & Implements,Ningbo Zhenhai Jinlong Sewingรย Machine...,230-574-86533378,wang521125wx@126.com,
40,"Zhoushan first plastic machinery co, .ltd.",https://www.yellowpagesnepal.com/zhoushan-first-plastic-machinery-co-ltd,"No.44,Donghou Road, Jintang Town, Dinghai District, Zhoushan City.","Last Updated : 
            Jun 26, 2018",Agricultural Equipment & Implements,First machinery has concentrated on tech...,"691-86-580-8590688, 691-86-13905808677",jinlianhai@163.com,
